,Location,Cost,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,URL,Yelp,Google,N,Latitude,Longitude
44,los tacos,8.084615384615386,0.83,3.6692307692307695,4.1923076923076925,4.2,3.8307692307692305,3.56923076923077,3.56923076923077,3.8076923076923075,4.1692307692307695,4.253846153846154,4.092307692307692,https://www.yelp.com/biz/los-tacos-oceanside,4.0,4.2,13,33.1826321,-117.3409433
45,los tacos 2,8.74,0.806,3.9,4.375,3.35,3.2,2.7,2.6,3.5,3.34,3.0,3.4799999999999995,https://www.yelp.com/biz/los-tacos-oceanside-2,4.5,5.0,5,33.1792619,-117.2951199
46,lourdes,6.85,0.6,3.75,3.0,3.25,3.0,3.5,3.75,3.75,3.4,5.0,3.425,https://www.yelp.com/biz/lourdes-encinitas-2,4.0,4.7,2,33.0208354,-117.2823407
47,lucha libre carlsbad,8.75,0.7174999999999999,3.45,2.625,3.575,3.5,3.0,3.225,4.325,3.625,4.75,3.15,https://www.yelp.com/biz/lucha-libre-gourmet-taco-shop-carlsbad,3.5,3.8,4,37.3528445,-121.9723277
48,lucha libre north park,7.5874999999999995,0.8270833333333334,3.6785714285714284,3.1999999999999997,3.612,3.3642857142857143,3.48,3.185714285714286,3.925925925925926,3.314285714285714,4.014285714285714,3.2642857142857147,https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,28,32.7486959,-117.1297798
49,lupe's taco shop,8.360000000000001,1.0850000000000002,3.5,3.8333333333333335,3.766666666666667,3.4166666666666665,3.0833333333333335,1.9666666666666668,3.34,3.3166666666666664,3.4499999999999997,3.5416666666666665,https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,6,32.8014966,-117.1571964
50,matador mexican food,6.6,,2.7,3.6,3.25,3.35,4.4,2.7,3.25,3.2,3.75,3.0,https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,4.5,4.0,2,32.7652048,-117.196432
51,mi asador mexican & seafood,6.64,0.9450000000000001,3.5,2.75,2.75,3.0,2.75,2.5,3.5,3.5,3.75,3.25,https://sites.google.com/site/miasador/,4.5,4.4,2,33.2165079,-117.2718828
52,mikes taco club,8.790000000000001,0.9850000000000001,4.375,4.625,3.75,4.375,3.375,3.5,3.8333333333333335,3.875,3.375,4.2,http://www.mikestacoclub.com/menu/,4.5,4.9,4,32.7476247,-117.252021
53,mr. ruribertos taco shop,7.75,0.69,3.75,3.5,2.5,2.65,2.45,2.9,2.1,2.65,4.25,2.95,https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3.5,3.7,2,32.772199,-117.2514181
54,netos mexican food,5.745,0.905,4.0,4.5,3.25,3.5,2.75,2.75,2.25,3.375,3.25,3.1,https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,2,33.1422262,-117.2013389
55,nico's taco shop,7.09,,2.25,3.0,3.0,2.25,2.75,3.0,,2.25,3.0,2.8,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,2,32.939395,-117.231774
